"url_base","headline","description","fulllink","tweet_text","num_char","pub_date"
"/news/news-desk/behind-the-scenes-of-harvey-weinsteins-impending-arrest","Behind the Scenes of Harvey Weinstein’s Arrest","Why Lucia Evans decided to move forward with her case against the producer.","https://www.newyorker.com/news/news-desk/behind-the-scenes-of-harvey-weinsteins-impending-arrest","It's #RonanTime: Behind the Scenes of Harvey Weinstein’s Arrest
https://www.newyorker.com/news/news-desk/behind-the-scenes-of-harvey-weinsteins-impending-arrest",160,2018-05-24
"/news/news-desk/missing-files-motivated-the-leak-of-michael-cohens-financial-records","Missing Files Motivated the Leak of Michael Cohen’s Financial Records","A law-enforcement official released the documents after finding that additional suspicious transactions did not appear in a government database.","https://www.newyorker.com/news/news-desk/missing-files-motivated-the-leak-of-michael-cohens-financial-records","It's #RonanTime: Missing Files Motivated the Leak of Michael Cohen’s Financial Records
https://www.newyorker.com/news/news-desk/missing-files-motivated-the-leak-of-michael-cohens-financial-records",196,2018-05-16
"/news/news-desk/four-women-accuse-new-yorks-attorney-general-of-physical-abuse","Four Women Accuse New York’s Attorney General of Physical Abuse","Eric Schneiderman has raised his profile as a voice against sexual misconduct. Now, after suing Harvey Weinstein, he faces a #MeToo reckoning of his own.","https://www.newyorker.com/news/news-desk/four-women-accuse-new-yorks-attorney-general-of-physical-abuse","It's #RonanTime: Four Women Accuse New York’s Attorney General of Physical Abuse
https://www.newyorker.com/news/news-desk/four-women-accuse-new-yorks-attorney-general-of-physical-abuse",184,2018-05-07
"/news/news-desk/israeli-operatives-who-aided-harvey-weinstein-collected-information-on-former-obama-administration-officials","Israeli Operatives Who Aided Harvey Weinstein Collected Information on Former Obama Administration Officials","Using false identities, a private-intelligence firm tried to gather damaging information about the architects of the Iran nuclear deal.","https://www.newyorker.com/news/news-desk/israeli-operatives-who-aided-harvey-weinstein-collected-information-on-former-obama-administration-officials","It's #RonanTime: Israeli Operatives Who Aided Harvey Weinstein Collected Information on Former Obama Administration Officials
https://www.newyorker.com/news/news-desk/israeli-operatives-who-aided-harvey-weinstein-collected-information-on-former-obama-administration-officials",275,2018-05-06
"/books/page-turner/inside-rex-tillersons-ouster","Inside Rex Tillerson’s Ouster","In a forthcoming book, Ronan Farrow chronicles the discord and disarray of Tillerson’s State Department in the months leading up to his sudden dismissal.","https://www.newyorker.com/books/page-turner/inside-rex-tillersons-ouster","It's #RonanTime: Inside Rex Tillerson’s Ouster
https://www.newyorker.com/books/page-turner/inside-rex-tillersons-ouster",119,2018-04-19
"/news/news-desk/the-national-enquirer-a-donald-trump-rumor-and-another-secret-payment-to-buy-silence-dino-sajudin-david-pecker","The National Enquirer, a Trump Rumor, and Another Secret Payment to Buy Silence","How the media organization protected the Presidential candidate early in his campaign.","https://www.newyorker.com/news/news-desk/the-national-enquirer-a-donald-trump-rumor-and-another-secret-payment-to-buy-silence-dino-sajudin-david-pecker","It's #RonanTime: The National Enquirer, a Trump Rumor, and Another Secret Payment to Buy Silence
https://www.newyorker.com/news/news-desk/the-national-enquirer-a-donald-trump-rumor-and-another-secret-payment-to-buy-silence-dino-sajudin-david-pecker",248,2018-04-12
"/news/news-desk/donald-trump-a-playboy-model-and-a-system-for-concealing-infidelity-national-enquirer-karen-mcdougal","Donald Trump, a Playboy Model, and a System for Concealing Infidelity","One woman’s account of clandestine meetings, financial transactions, and legal pacts designed to hide an extramarital affair.","https://www.newyorker.com/news/news-desk/donald-trump-a-playboy-model-and-a-system-for-concealing-infidelity-national-enquirer-karen-mcdougal","It's #RonanTime: Donald Trump, a Playboy Model, and a System for Concealing Infidelity
https://www.newyorker.com/news/news-desk/donald-trump-a-playboy-model-and-a-system-for-concealing-infidelity-national-enquirer-karen-mcdougal",228,2018-02-16
"/news/news-desk/harvey-weinsteins-secret-settlements","Harvey Weinstein’s Secret Settlements","The mogul used money from his brother and elaborate legal agreements to hide allegations of predation for decades.","https://www.newyorker.com/news/news-desk/harvey-weinsteins-secret-settlements","It's #RonanTime: Harvey Weinstein’s Secret Settlements
https://www.newyorker.com/news/news-desk/harvey-weinsteins-secret-settlements",132,2017-11-21
"/news/news-desk/rose-mcgowan-speaks-out-about-her-arrest-on-drug-charges","Rose McGowan Speaks Out About Her Arrest on Drug Charges","The allegations stem from an incident that took place in January, in which the police said that she left a wallet with cocaine in it on an airplane.","https://www.newyorker.com/news/news-desk/rose-mcgowan-speaks-out-about-her-arrest-on-drug-charges","It's #RonanTime: Rose McGowan Speaks Out About Her Arrest on Drug Charges
https://www.newyorker.com/news/news-desk/rose-mcgowan-speaks-out-about-her-arrest-on-drug-charges",171,2017-11-14
"/news/news-desk/harvey-weinsteins-army-of-spies","Harvey Weinstein’s Army of Spies","The film executive hired private investigators, including ex-Mossad agents, to track actresses and journalists.","https://www.newyorker.com/news/news-desk/harvey-weinsteins-army-of-spies","It's #RonanTime: Harvey Weinstein’s Army of Spies
https://www.newyorker.com/news/news-desk/harvey-weinsteins-army-of-spies",122,2017-11-06
